114, 20, 0, Bask, Pyr, GABA
115, 20, 0, Bask, Pyr, GABA
116, 20, 0, Bask, Pyr, GABA
117, 20, 0, Bask, Pyr, GABA
118, 20, 0, Bask, Pyr, GABA
119, 20, 0, Bask, Pyr, GABA
120, 20, 0, Bask, Pyr, GABA
101, 21, 0, Bask, Pyr, GABA
102, 21, 0, Bask, Pyr, GABA
103, 21, 0, Bask, Pyr, GABA
104, 21, 0, Bask, Pyr, GABA
105, 21, 0, Bask, Pyr, GABA
106, 21, 0, Bask, Pyr, GABA
107, 21, 0, Bask, Pyr, GABA
108, 21, 0, Bask, Pyr, GABA
109, 21, 0, Bask, Pyr, GABA
110, 21, 0, Bask, Pyr, GABA
111, 21, 0, Bask, Pyr, GABA
112, 21, 0, Bask, Pyr, GABA
113, 21, 0, Bask, Pyr, GABA
114, 21, 0, Bask, Pyr, GABA
115, 21, 0, Bask, Pyr, GABA
116, 21, 0, Bask, Pyr, GABA
117, 21, 0, Bask, Pyr, GABA
118, 21, 0, Bask, Pyr, GABA
119, 21, 0, Bask, Pyr, GABA
120, 21, 0, Bask, Pyr, GABA
101, 22, 0, Bask, Pyr, GABA
102, 22, 0, Bask, Pyr, GABA
103, 22, 0, Bask, Pyr, GABA
104, 22, 0, Bask, Pyr, GABA
105, 22, 0, Bask, Pyr, GABA
106, 22, 0, Bask, Pyr, GABA
107, 22, 0, Bask, Pyr, GABA
108, 22, 0, Bask, Pyr, GABA
109, 22, 0, Bask, Pyr, GABA
110, 22, 0, Bask, Pyr, GABA
111, 22, 0, Bask, Pyr, GABA
112, 22, 0, Bask, Pyr, GABA
113, 22, 0, Bask, Pyr, GABA
114, 22, 0, Bask, Pyr, GABA
115, 22, 0, Bask, Pyr, GABA
116, 22, 0, Bask, Pyr, GABA
117, 22, 0, Bask, Pyr, GABA
118, 22, 0, Bask, Pyr, GABA
119, 22, 0, Bask, Pyr, GABA
120, 22, 0, Bask, Pyr, GABA
101, 23, 0, Bask, Pyr, GABA
102, 23, 0, Bask, Pyr, GABA
103, 23, 0, Bask, Pyr, GABA
104, 23, 0, Bask, Pyr, GABA
105, 23, 0, Bask, Pyr, GABA
106, 23, 0, Bask, Pyr, GABA
107, 23, 0, Bask, Pyr, GABA
108, 23, 0, Bask, Pyr, GABA
109, 23, 0, Bask, Pyr, GABA
110, 23, 0, Bask, Pyr, GABA
111, 23, 0, Bask, Pyr, GABA
112, 23, 0, Bask, Pyr, GABA
113, 23, 0, Bask, Pyr, GABA
114, 23, 0, Bask, Pyr, GABA
115, 23, 0, Bask, Pyr, GABA
116, 23, 0, Bask, Pyr, GABA
117, 23, 0, Bask, Pyr, GABA
118, 23, 0, Bask, Pyr, GABA
119, 23, 0, Bask, Pyr, GABA
120, 23, 0, Bask, Pyr, GABA
101, 24, 0, Bask, Pyr, GABA
102, 24, 0, Bask, Pyr, GABA
103, 24, 0, Bask, Pyr, GABA
104, 24, 0, Bask, Pyr, GABA
105, 24, 0, Bask, Pyr, GABA
106, 24, 0, Bask, Pyr, GABA
107, 24, 0, Bask, Pyr, GABA
108, 24, 0, Bask, Pyr, GABA
109, 24, 0, Bask, Pyr, GABA
110, 24, 0, Bask, Pyr, GABA
111, 24, 0, Bask, Pyr, GABA
112, 24, 0, Bask, Pyr, GABA
113, 24, 0, Bask, Pyr, GABA
114, 24, 0, Bask, Pyr, GABA
115, 24, 0, Bask, Pyr, GABA
116, 24, 0, Bask, Pyr, GABA
117, 24, 0, Bask, Pyr, GABA
118, 24, 0, Bask, Pyr, GABA
119, 24, 0, Bask, Pyr, GABA
120, 24, 0, Bask, Pyr, GABA
101, 25, 0, Bask, Pyr, GABA
102, 25, 0, Bask, Pyr, GABA
103, 25, 0, Bask, Pyr, GABA
104, 25, 0, Bask, Pyr, GABA
105, 25, 0, Bask, Pyr, GABA
106, 25, 0, Bask, Pyr, GABA
107, 25, 0, Bask, Pyr, GABA
108, 25, 0, Bask, Pyr, GABA
109, 25, 0, Bask, Pyr, GABA
110, 25, 0, Bask, Pyr, GABA
111, 25, 0, Bask, Pyr, GABA
112, 25, 0, Bask, Pyr, GABA
113, 25, 0, Bask, Pyr, GABA
114, 25, 0, Bask, Pyr, GABA
115, 25, 0, Bask, Pyr, GABA
116, 25, 0, Bask, Pyr, GABA
117, 25, 0, Bask, Pyr, GABA
118, 25, 0, Bask, Pyr, GABA
119, 25, 0, Bask, Pyr, GABA
120, 25, 0, Bask, Pyr, GABA
101, 26, 0, Bask, Pyr, GABA
102, 26, 0, Bask, Pyr, GABA
103, 26, 0, Bask, Pyr, GABA
104, 26, 0, Bask, Pyr, GABA
105, 26, 0, Bask, Pyr, GABA
106, 26, 0, Bask, Pyr, GABA
107, 26, 0, Bask, Pyr, GABA
108, 26, 0, Bask, Pyr, GABA
109, 26, 0, Bask, Pyr, GABA
110, 26, 0, Bask, Pyr, GABA
111, 26, 0, Bask, Pyr, GABA
112, 26, 0, Bask, Pyr, GABA
113, 26, 0, Bask, Pyr, GABA
114, 26, 0, Bask, Pyr, GABA
115, 26, 0, Bask, Pyr, GABA
116, 26, 0, Bask, Pyr, GABA
117, 26, 0, Bask, Pyr, GABA
118, 26, 0, Bask, Pyr, GABA
119, 26, 0, Bask, Pyr, GABA
120, 26, 0, Bask, Pyr, GABA
101, 27, 0, Bask, Pyr, GABA
102, 27, 0, Bask, Pyr, GABA
103, 27, 0, Bask, Pyr, GABA
104, 27, 0, Bask, Pyr, GABA
105, 27, 0, Bask, Pyr, GABA
106, 27, 0, Bask, Pyr, GABA
107, 27, 0, Bask, Pyr, GABA
108, 27, 0, Bask, Pyr, GABA
109, 27, 0, Bask, Pyr, GABA
110, 27, 0, Bask, Pyr, GABA
111, 27, 0, Bask, Pyr, GABA
112, 27, 0, Bask, Pyr, GABA
113, 27, 0, Bask, Pyr, GABA
114, 27, 0, Bask, Pyr, GABA
115, 27, 0, Bask, Pyr, GABA
116, 27, 0, Bask, Pyr, GABA
117, 27, 0, Bask, Pyr, GABA
118, 27, 0, Bask, Pyr, GABA
119, 27, 0, Bask, Pyr, GABA
120, 27, 0, Bask, Pyr, GABA
101, 28, 0, Bask, Pyr, GABA
102, 28, 0, Bask, Pyr, GABA
103, 28, 0, Bask, Pyr, GABA
104, 28, 0, Bask, Pyr, GABA
105, 28, 0, Bask, Pyr, GABA
106, 28, 0, Bask, Pyr, GABA
107, 28, 0, Bask, Pyr, GABA
108, 28, 0, Bask, Pyr, GABA
109, 28, 0, Bask, Pyr, GABA
110, 28, 0, Bask, Pyr, GABA
111, 28, 0, Bask, Pyr, GABA
112, 28, 0, Bask, Pyr, GABA
113, 28, 0, Bask, Pyr, GABA
114, 28, 0, Bask, Pyr, GABA
115, 28, 0, Bask, Pyr, GABA
116, 28, 0, Bask, Pyr, GABA
117, 28, 0, Bask, Pyr, GABA
118, 28, 0, Bask, Pyr, GABA
119, 28, 0, Bask, Pyr, GABA
120, 28, 0, Bask, Pyr, GABA
